"","PC1","PC2","PC3","PC4","PC5"
"Display Area (DA)(cm2)",0.0979126316833395,0.107288300110962,-0.776010387802724,-0.401654309534227,-0.184588336657896
"Specific Petal Area (SPA)(cm2/g)",0.470022642781439,0.532029352569452,-0.0851637776560099,-0.195894884321422,0.585274451970104
"Petal Dry Matter Content (PDMC)(g/g)",-0.096738627339268,-0.597350311496867,0.107620214621477,-0.707692447438625,0.30644347668889
"Leaf Area (LA)(cm2)",0.570585302008231,-0.352245970184498,0.164503296084102,0.23417930000812,0.307419647463944
"Specific Leaf Area (SLA)(cm2/g)",-0.0993596464579707,0.460942032504794,0.576964225296895,-0.461164776763965,-0.153349020954374
"Leaf Dry Matter Content (LDMC)(g/g)",-0.651685156803522,0.10982628636877,-0.137926961495826,0.178766646462808,0.641444148434819
"Eigenvalues",2.18977726053883,1.69041252586944,1.40080679642059,0.719003417171129,2.29481064745263e-30
"Variance_Percent",36.4962876756472,28.1735420978241,23.3467799403432,11.9833902861855,3.82468441242105e-29
"Cumulative_Variance_Percent",36.4962876756472,64.6698297734713,88.0166097138145,100,100
