"","PC1","PC2","PC3","PC4","PC5"
"Display Area (DA)(cm2)",0.533211199549341,0.168749828289102,0.349517941088216,0.479203739622216,0.240810191163471
"Specific Petal Area (SPA)(cm2/g)",0.0620412514061061,0.672224042769045,0.135807535665357,0.24814033844815,-0.602213024316893
"Petal Dry Matter Content (PDMC)(g/g)",0.480865548787298,-0.149193310742247,0.550702925951901,-0.363260810551701,0.14294356079055
"Leaf Area (LA)(cm2)",-0.0481320099646006,0.664422552113581,-0.219074765397633,-0.213925826051125,0.667629714738899
"Specific Leaf Area (SLA)(cm2/g)",-0.441778134098623,0.20509144404748,0.599228457930925,-0.449615521100977,-0.0985180715089222
"Leaf Dry Matter Content (LDMC)(g/g)",0.532090606605412,0.117727905047198,-0.386071640804748,-0.573509682584071,-0.321685898334466
"Eigenvalues",2.82122959021501,2.13769949186454,0.949605758517069,0.0914651594033822,6.06821634471539e-31
"Variance_Percent",47.0204931702502,35.628324864409,15.8267626419511,1.5244193233897,1.0113693907859e-29
"Cumulative_Variance_Percent",47.0204931702502,82.6488180346592,98.4755806766103,100,100
