"","PC1","PC2","PC3","PC4","PC5"
"Display Area (DA)(cm2)",0.0463590899279282,-0.691145644777182,-0.156194968193253,-0.194205383959772,-0.673560869143775
"Specific Petal Area (SPA)(cm2/g)",0.648939293485666,-0.0127449514466232,-0.228935249883847,-0.22221599850414,0.107943862294208
"Petal Dry Matter Content (PDMC)(g/g)",-0.211102897852972,-0.304659747566553,-0.617105278631876,0.631053725745419,0.244023164449755
"Leaf Area (LA)(cm2)",0.593014279103056,0.104656727512883,-0.3789195129373,0.0168066365977885,0.084904659114258
"Specific Leaf Area (SLA)(cm2/g)",-0.0736509989632069,0.640102930805657,-0.326407699385599,0.184218646763609,-0.652634134368674
"Leaf Dry Matter Content (LDMC)(g/g)",0.418418199653243,-0.0930210163949193,0.540602325978684,0.693149724968225,-0.204881572818939
"Eigenvalues",2.14229477202511,1.97914690805841,1.56610947073662,0.312448849179867,3.7840185428393e-30
"Variance_Percent",35.7049128670851,32.9857818009735,26.1018245122769,5.20748081966445,6.30669757139883e-29
"Cumulative_Variance_Percent",35.7049128670851,68.6906946680586,94.7925191803355,100,100
