"","PC1","PC2","PC3","PC4","PC5","PC6"
"DA",-0.395604224370221,0.306569070897085,-0.237634225190332,0.812688935617778,-0.162951090198932,-0.0776293345028025
"SPA",-0.102579680649063,0.621123164136709,0.330100389535314,-0.31385650291809,-0.629452705575712,0.000737522078360366
"PDMC",0.309117437791039,-0.569259287118061,0.0899024833998292,0.264342498344391,-0.696607423108406,0.131030373582599
"LA",0.368899253510276,0.156514516233725,0.766461094552262,0.406101711102124,0.293817580917472,0.026581325948203
"SLA",-0.588552260292736,-0.207580962396812,0.296038587785262,-0.0395454488482014,0.0668905284873245,0.718915398479482
"LDMC",0.504916521908075,0.358578630192144,-0.389075566445934,0.0683475733646628,0.0342230632637106,0.677685964606441
"Eigenvalues",2.11441439088158,1.72894198763572,0.896590271464212,0.67351140986097,0.370238352126913,0.216303588030609
"Variance_Percent",35.2402398480263,28.8156997939286,14.9431711910702,11.2251901643495,6.17063920211521,3.60505980051015
"Cumulative_Variance_Percent",35.2402398480263,64.0559396419549,78.9991108330251,90.2243009973746,96.3949401994899,100
