"","PC1","PC2","PC3","PC4","PC5"
"Display Area (DA)(cm2)",-0.288238037962241,0.218088907494427,-0.808486737426336,-0.16067442861887,-0.416123533836117
"Specific Petal Area (SPA)(cm2/g)",0.0680105914646244,0.659375325734021,0.319257976526035,-0.0746719168816107,-0.448896888441797
"Petal Dry Matter Content (PDMC)(g/g)",-0.421686160774255,-0.393868884199005,0.335687560289173,-0.681070115014645,-0.300699920430819
"Leaf Area (LA)(cm2)",-0.505947845607072,-0.314570874846753,0.096199519135774,0.687982628096922,-0.336122392421183
"Specific Leaf Area (SLA)(cm2/g)",0.564844739997893,-0.214029261699201,0.118548461640139,0.124215296584829,-0.647528240277492
"Leaf Dry Matter Content (LDMC)(g/g)",-0.399301104373697,0.466653351145703,0.329286070853483,0.126498200707991,0.0513932032870868
"Eigenvalues",2.79030473403715,2.0288834379458,1.02127983664251,0.159531991374536,4.91072284822136e-31
"Variance_Percent",46.5050789006192,33.8147239657633,17.0213306107085,2.65886652290893,8.18453808036894e-30
"Cumulative_Variance_Percent",46.5050789006192,80.3198028663825,97.3411334770911,100,100
