Sample Code,Plot No.,Sample No.,Flower/Leaf No. ,Treatment ,C02 Level,Temperature Level,Drought,Specific Petal Area (SPA)(cm2/g),Petal Mass Per Area (PMA)(g/cm2),Petal Dry Matter Content (PDMC)(g/g),Specific Leaf Area (SLA)(cm2/g),Leaf Mass per Area (LMA)(g/cm2),Leaf Dry Matter Content (g/g),Average No. of Seeds per Flower Head (AFH),Average Individual Seed Mass (ASM)(g)
22.1-1,P22,S1,F1,C0T0,C0,T0,D0,1515.106036,0.00066002,0.105689655,,,,31.3,0.00012585
22.2-1,P22,S2,F1,C0T0,C0,T0,D0,1779.084507,0.000562087,0.08875,713.3630573,0.001401811,0.138938053,46.3,0.00012475
22.2-2,P22,S2,F2,C0T0,C0,T0,D0,2064.349593,0.000484414,0.1025,203.6196721,0.004911117,0.156410256,32.3,0.00015268
24.1-1,P24,S1,F1,C2T0,C2,T0,D0,,,,,,,36,0.00011731
24.2-1,P24,S2,F1,C2T0,C2,T0,D0,2638.064516,0.000379066,0.0871875,,,,40,0.00011217
24.2-2,P24,S2,F2,C2T0,C2,T0,D0,1819.418605,0.000549626,0.086,,,,,
27.1-1,P27,S1,F1,C2T2,C2,T2,D1,707.1544715,0.001414118,0.123,,,,14,0.00010286
27.2-1,P27,S2,F1,C2T2,C2,T2,D1,,,,,,,19.3,0.00009724
28.1-1,P28,S1,F1,C0T0,C0,T0,D1,1315.819936,0.000759982,0.088857143,278.2469136,0.00359393,0.162,32.3,0.00010485
28.1-2,P28,S1,F2,C0T0,C0,T0,D1,,,,,,,,
28.2-1,P28,S2,F1,C0T0,C0,T0,D1,1177.817531,0.000849028,0.068170732,59.39954338,0.016835146,0.187982833,36,0.00010139
28.2-2,P28,S2,F2,C0T0,C0,T0,D1,829.2980132,0.001205839,0.121774194,2101.637931,0.000475819,0.152631579,,
35.1-1,P35,S1,F1,C2T2,C2,T2,D0,674.1634241,0.00148332,0.116818182,297.532548,0.003360977,0.201625,30,0.00013044
35.2-1,P35,S2,F1,C2T2,C2,T2,D0,1194.11339,0.000837441,0.118428571,223.6287129,0.004471698,0.164227642,28.3,0.00018953
35.2-2,P35,S2,F2,C2T2,C2,T2,D0,881.6973415,0.001134176,0.119268293,417.7288136,0.002393898,0.201136364,,
42.1-1,P42,S1,F1,C0T2,C0,T2,D0,1351.627907,0.000739849,0.083367347,343.1446541,0.002914223,0.154368932,35,0.00015381
42.2-1,P42,S2,F1,C0T2,C0,T2,D0,2172.769231,0.000460242,0.056521739,410.4136253,0.002436566,0.140273038,29.3,0.00022818
42.3-1,P42,S3,F1,C0T2,C0,T2,D0,631.6475973,0.001583161,0.106585366,563.5,0.001774623,0.110843373,46.7,0.00021443
42.4-1,P42,S4,F1,C0T2,C0,T2,D0,1719.853748,0.000581445,0.088225806,546.7241379,0.001829076,0.187096774,26,0.00011410
42.4-2,P42,S4,F2,C0T2,C0,T2,D0,,,,195.4360465,0.005116763,0.143333333,,
44.1-1,P44,S1,F1,C0T0,C0,T0,D1,359.7826087,0.002779456,0.184,306.2249561,0.003265573,0.201060071,19.3,0.00010379
44.2-1,P44,S2,F1,C0T0,C0,T0,D1,726,0.00137741,0.114444444,390.9208633,0.002558062,0.159312321,34,0.00015186
45.1-1,P45,S1,F1,C2T2,C2,T2,D1,641.8803419,0.001557923,0.1404,350.1879699,0.002855609,0.204615385,28.3,0.00018506
45.1-2,P45,S1,F2,C2T2,C2,T2,D1,401.3302217,0.002491714,0.126029412,,,,,
45.2-1,P45,S2,F1,C2T2,C2,T2,D1,1668.975265,0.00059917,0.07075,335.6197816,0.002979562,0.194625,19,0.00012491
47.1-1,P47,S1,F1,C0T0,C0,T0,D1,873.9759036,0.001144196,0.155625,204.9345794,0.004879606,0.148611111,20.3,0.00009131
47.1-2,P47,S1,F2,C0T0,C0,T0,D1,,,,864.8666667,0.001156248,0.206896552,,
47.2-1,P47,S2,F1,C0T0,C0,T0,D1,2254.962121,0.000443466,0.1056,484.5877863,0.00206361,0.218333333,21,0.00018048
47.2-2,P47,S2,F2,C0T0,C0,T0,D1,,,,195.1904762,0.005123201,0.19266055,,
49.1-1,P49,S1,F1,C0T0,C0,T0,D1,619.012016,0.001615478,0.124833333,373.2133333,0.002679433,0.163934426,43,0.00010047
49.2-1,P49,S2,F1,C0T0,C0,T0,D1,930.6382979,0.001074531,0.14547619,316.2315789,0.00316224,0.162393162,22.7,0.00012412
49.2-2,P49,S2,F2,C0T0,C0,T0,D1,642.1560284,0.001557254,0.167857143,,,,,
50.1-1,P50,S1,F1,C2T2,C2,T2,D1,1008.548387,0.000991524,0.095384615,521.9736842,0.001915805,0.131034483,29,0.00009983
50.2-1,P50,S2,F1,C2T2,C2,T2,D1,1335.261146,0.000748917,0.12265625,615.4969118,0.001624704,0.134924242,19.7,0.00012746
51.1-1,P51,S1,F1,C0T2,C0,T2,D0,902.0838323,0.001108544,0.080288462,575.0617284,0.001738944,0.120895522,34,0.00007029
51.2-1,P51,S2,F1,C0T2,C0,T2,D0,1446.566265,0.000691292,0.057241379,,,,32.7,0.00011112
53.1-1,P53,S1,F1,C0T0,C0,T0,D0,,,,,,,27.7,0.00007699
53.2-1,P53,S2,F1,C0T0,C0,T0,D0,1277.443182,0.000782814,0.117333333,567.5744681,0.001761883,0.138235294,23,0.00014507
