Species ,Sample Code,Plot No.,Sample No.,Treatment,CO2,Temperature,Drought,Display Area (DA)(cm2),Specific Standard Petal Area (SSA)(cm2/g),Specific Wing 1 Petal Area (SW1A)(cm2/g),Specific Wing 2 Petal Area (SW2A)(cm2/g),Specific Keel Petal Area (SKA)(cm2/g),Standard Petal Mass per Area (SPMA)(g/cm2),Wing 1 Petal Mass per Area (W1PMA)(g/cm2),Wing 2 Petal Mass per Area (W2PMA)(g/cm2),Keel Petal Mass per Area (KPMA)(g/cm2),Specific Petal Area (SPA)(cm2/g),Petal Mass per Area (PMA)(g/cm2),Petal Dry Matter Content (PDMC)(g/g),Leaf Area (LA)(cm2),Specific Leaf Area (SLA)(cm2/g),Leaf Dry Matter Content (LDMC)(g/g),Number of Seeds (SN),Seed Mass (SM)(g)
Crepis,45.1-2,45,1,C2T2D1,2,2,1,0.039727,,,,,,,,,521.6052818,0.002024819,0.133214706,0.09315,350.1879699,0.204615385,28.33333333,0.000185059
Crepis,45.2-1,45,2,C2T2D1,2,2,1,0.047232,,,,,,,,,1668.975265,0.00059917,0.07075,0.26128,335.6197816,0.194625,19,0.000124912
Crepis,49.1-1,49,1,C0T0D1,0,0,1,0.046364,,,,,,,,,619.012016,0.001615478,0.124833333,1.11964,373.2133333,0.163934426,43,0.000100465
Crepis,49.2-2,49,2,C0T0D1,0,0,1,0.051067,,,,,,,,,786.3971632,0.001315893,0.156666667,0.60084,316.2315789,0.162393162,22.66666667,0.000124118
Crepis,50.1-1,50,1,C2T2D1,2,2,1,0.025012,,,,,,,,,1008.548387,0.000991524,0.095384615,0.3967,521.9736842,0.131034483,29,9.98276E-05
Crepis,50.2-1,50,2,C2T2D1,2,2,1,0.104818,,,,,,,,,1335.261146,0.000748917,0.12265625,0.5481,615.4969118,0.134924242,19.66666667,0.000127458
Crepis,51.1-1,51,1,C0T2D0,0,2,0,0.075324,,,,,,,,,902.0838323,0.001108544,0.080288462,0.4658,575.0617284,0.120895522,34,7.02941E-05
Crepis,51.2-1,51,2,C0T2D0,0,2,0,0.048026,,,,,,,,,1446.566265,0.000691292,0.057241379,0.4658,575.0617284,0.120895522,32.66666667,0.000111122
Crepis,53.1-1,53,1,C0T0D0,0,0,0,0.070011267,,,,,,,,,1323.231832,0.000960861,0.102179431,0.26676,567.5744681,0.138235294,27.66666667,7.6988E-05
Crepis,53.2-1,53,2,C0T0D0,0,0,0,0.089932,,,,,,,,,1277.443182,0.000782814,0.117333333,0.26676,567.5744681,0.138235294,23,0.000145072
