Species,Plot No.,Individual No.,Treatment ,CO2 Level,Temperature Level,Drought,Specific Standard Petal Area (SSA) (cm2/g),Specific Wing 1 Petal Area (SW1A) (cm2/g),Specific Wing 2 Petal Area (SW2A) (cm2/g),Specific Keel Petal Area (SKA) (cm2/g),Standard Petal Mass per Area (SPMA)(g/cm2),Wing 1 Petal Mass per Area (W1PMA)(g/cm2),Wing 2 Petal Mass per Area (W2PMA)(g/cm2),Keel Petal Mass per Area (KPMA)(g/cm2),Petal Mass per Area (PMA)(g/cm2),Specific Petal Area (SPA) (cm2/g),Petal Dry Matter Content (PDMC) (g/g),Specific Leaf Area (SLA) (cm2/g),Leaf Dry Matter Content (LDMC) (g/g),Average No. of Seeds per Flower Head (AFH),Average Individual Seed Mass (ASM)(g)
Crepis,P12,I1,C2T2,C2,T2,D0,,,,,,,,,0.001394249,717.2322503,0.109342105,330.4852321,0.158,28,0.00014655
Crepis,P12,I2,C2T2,C2,T2,D0,,,,,,,,,0.002769468,361.0801964,0.15275,304.5,0.177777778,22.7,0.00013324
Crepis,P12,I3,C2T2,C2,T2,D0,,,,,,,,,0.000499061,2003.764172,0.0882,393.2451253,0.156086957,27.7,0.00008988
Crepis,P12,I4,C2T2,C2,T2,D0,,,,,,,,,0.001554259,1027.358873,0.116764035,462.240566,0.147222222,25.3,0.00015316
Crepis,P14,I1,C2T0,C2,T0,D0,,,,,,,,,0.000458035,2183.237598,0.044534884,1083.124783,0.139894893,34.66666667,0.000122885
Crepis,P14,I2,C2T0,C2,T0,D0,,,,,,,,,0.001604473,623.2575068,0.098125,559.3317597,0.102192982,34.7,0.00011202
Crepis,P21,I1,C0T2,C0,T2,D0,,,,,,,,,0.000496301,2018.891523,0.101416667,1169.448231,0.171005245,26.66666667,0.000097125
Crepis,P22,I1,C0T0,C0,T0,D0,,,,,,,,,0.00066002,1515.106036,0.105689655,458.4913647,0.147674155,31.3,0.00012585
Crepis,P22,I2,C0T0,C0,T0,D0,,,,,,,,,0.00052325,1921.71705,0.095625,458.4913647,0.147674155,39.33333333,0.000138714
Crepis,P28,I1,C0T0,C0,T0,D1,,,,,,,,,0.000759982,1315.819936,0.088857143,278.2469136,0.162,32.3,0.00010485
Crepis,P28,I2,C0T0,C0,T0,D1,,,,,,,,,0.001027434,1003.557772,0.094972463,1080.518737,0.170307206,36,0.000101389
Crepis,P35,I1,C2T2,C2,T2,D0,,,,,,,,,0.00148332,674.1634241,0.116818182,297.532548,0.201625,30,0.00013044
Crepis,P35,I2,C2T2,C2,T2,D0,,,,,,,,,0.000985809,1037.905366,0.118848432,320.6787632,0.182682003,28.33333333,0.000189529
Crepis,P42,I1,C0T2,C0,T2,D0,,,,,,,,,0.000739849,1351.627907,0.083367347,343.1446541,0.154368932,35,0.00015381
Crepis,P42,I2,C0T2,C0,T2,D0,,,,,,,,,0.000460242,2172.769231,0.056521739,410.4136253,0.140273038,29.3,0.00022818
Crepis,P42,I3,C0T2,C0,T2,D0,,,,,,,,,0.001583161,631.6475973,0.106585366,563.5,0.110843373,46.7,0.00021443
Crepis,P42,I4,C0T2,C0,T2,D0,,,,,,,,,0.000581445,1719.853748,0.088225806,371.0800922,0.165215054,26,0.000114103
Crepis,P44,I1,C0T0,C0,T0,D1,,,,,,,,,0.002779456,359.7826087,0.184,306.2249561,0.201060071,19.3,0.00010379
Crepis,P44,I2,C0T0,C0,T0,D1,,,,,,,,,0.00137741,726,0.114444444,390.9208633,0.159312321,34,0.00015186
Crepis,P45,I1,C2T2,C2,T2,D1,,,,,,,,,0.002024818,521.6052818,0.133214706,350.1879699,0.204615385,28.33333333,0.000185059
Crepis,P45,I2,C2T2,C2,T2,D1,,,,,,,,,0.00059917,1668.975265,0.07075,335.6197816,0.194625,19,0.00012491
Crepis,P47,I1,C0T0,C0,T0,D1,,,,,,,,,0.001144196,873.9759036,0.155625,534.9006231,0.177753831,20.33333333,9.13115E-05
Crepis,P47,I2,C0T0,C0,T0,D1,,,,,,,,,0.000443466,2254.962121,0.1056,339.8891312,0.205496942,21,0.000180476
Crepis,P49,I1,C0T0,C0,T0,D1,,,,,,,,,0.001615478,619.012016,0.124833333,373.2133333,0.163934426,43,0.00010047
Crepis,P49,I2,C0T0,C0,T0,D1,,,,,,,,,0.001315893,786.3971631,0.156666667,316.2315789,0.162393162,22.66666667,0.000124118
Crepis,P50,I1,C2T2,C2,T2,D1,,,,,,,,,0.000991524,1008.548387,0.095384615,521.9736842,0.131034483,29,0.00009983
Crepis,P50,I2,C2T2,C2,T2,D1,,,,,,,,,0.000748917,1335.261146,0.12265625,615.4969118,0.134924242,19.7,0.00012746
Crepis,P51,I1,C0T2,C0,T2,D0,,,,,,,,,0.001108544,902.0838323,0.080288462,575.0617284,0.120895522,34,0.00007029
Crepis,P51,I2,C0T2,C0,T2,D0,,,,,,,,,0.000691292,1446.566265,0.057241379,575.0617284,0.120895522,32.7,0.00011112
Crepis,P53,I2,C0T0,C0,T0,D0,,,,,,,,,0.000782814,1277.443182,0.117333333,567.5744681,0.138235294,23.00,0.00014507
