Sample Code,Plot No.,Sample No.,Flower No.,Treatment ,CO2 Level,Temperature Level,Drought,Specific Standard Petal Area (SSA) (cm2/g),Specific Wing 1 Petal Area (SW1A) (cm2/g),Specific Wing 2 Petal Area (SW2A) (cm2/g),Specific Keel Petal Area (SKA) (cm2/g),Standard Petal Mass per Area (SPMA)(g/cm2),Wing 1 Petal Mass per Area (W1PMA)(g/cm2),Wing 2 Petal Mass per Area (W2PMA)(g/cm2),Keel Petal Mass per Area (KPMA)(g/cm2),Specific Petal Area (SPA) (cm2/g),Petal Mass per Area (PMA)(g/cm2),Petal Dry Matter Content (PDMC) (g/g),Specific Leaf Area (SLA) (cm2/g),Leaf Dry Matter Content (LDMC) (g/g)
27.2-1,P27,I2,F1,C2T2,C2,T2,D1,378.0192016,622.8846154,617.5,497.4591909,0.002645368,0.001605434,0.001619433,0.002010215,491.2964427,0.002035431,0.191666667,238.8792453,0.20703125
27.2-2,P27,I2,F2,C2T2,C2,T2,D1,434.8893805,672.9960053,712.4806202,410.9184329,0.002299435,0.001485893,0.001403547,0.002433573,507.7627812,0.001969424,0.189534884,,
28.1-1,P28,I1,F1,C0T0,C0,T0,D1,589.036874,899.919571,820.9141274,695.5455365,0.001697687,0.00111121,0.001218154,0.00143772,706.8001821,0.001414827,0.125542857,250.4277778,0.199261993
28.1-2,P28,I1,F2,C0T0,C0,T0,D1,789.8168931,805.851198,796.0180995,585.8771281,0.001266116,0.001240924,0.001256253,0.001706843,735.3103156,0.00135997,0.152290323,227.3580645,0.227941176
29.1-1,P29,I1,F1,C2T2,C2,T2,D0,623.3947368,716.5174129,385.7886677,714.3333333,0.00160412,0.001395639,0.002592093,0.001399907,620.2623126,0.001612221,0.131549296,255.4,0.197802198
29.1-2,P29,I1,F2,C2T2,C2,T2,D0,608.7241625,698,342.5174825,628.3103082,0.00164278,0.001432665,0.002919559,0.00159157,583.6157864,0.001713456,0.141229508,219.4733333,0.225
29.1-3,P29,I1,F3,C2T2,C2,T2,D0,868.6228482,916.013986,1146.772727,851.7919075,0.001151248,0.001091686,0.000872012,0.001173996,911.3914422,0.001097223,0.159343434,,
29.1-4,P29,I1,F4,C2T2,C2,T2,D0,537.2916667,624.9117647,437.0393701,584.920354,0.001861187,0.001600226,0.002288123,0.001709634,549.7864858,0.001818888,0.160524194,,
30.1-1,P30,I1,F1,C0T0,C0,T0,D0,595.6801909,794.2090395,759.544808,371.4880333,0.001678753,0.001259114,0.001316578,0.002691877,605.6373518,0.001651153,0.171525424,215.8907882,0.19076087
30.1-2,P30,I1,F2,C0T0,C0,T0,D0,607.6557864,1019.753846,860.7843137,812.0228571,0.001645669,0.000980629,0.001161731,0.001231492,766.3206816,0.001304937,0.172901786,,
30.1-3,P30,I1,F3,C0T0,C0,T0,D0,583.6572118,774.1786744,828.2406015,701.5420023,0.001713334,0.001291691,0.001207379,0.001425431,685.9253539,0.001457885,0.164618644,,
34.1-1,P34,I1,F1,C2T0,C2,T0,D0,590.8325074,1068.472622,947.6150628,775.8319328,0.001692527,0.000935915,0.001055281,0.001288939,765.6419138,0.001306094,0.139969697,208.8076923,0.216666667
34.1-2,P34,I1,F2,C2T0,C2,T0,D0,723.2651119,1012.598639,993.2775453,820.5280528,0.001382619,0.000987558,0.001006768,0.001218727,833.2633788,0.001200101,0.154707792,230.3969697,0.22
34.1-3,P34,I1,F3,C2T0,C2,T0,D0,991.6261682,1027.484848,891.47343,999.0356394,0.001008445,0.00097325,0.001121738,0.001000965,978.7299234,0.001021732,0.1349,,
34.1-4,P34,I1,F4,C2T0,C2,T0,D0,545.9638243,808.0728376,1103.064067,684.7266314,0.001831623,0.001237512,0.000906566,0.001460437,710.1754386,0.001408103,0.147218543,,
35.1-1,P35,I1,F1,C2T2,C2,T2,D0,530.3604938,478.7562189,346.8894602,404.6829268,0.00188551,0.002088746,0.002882763,0.00247107,460.3142444,0.002172429,0.155032051,170.1470588,0.233944954
35.1-2,P35,I1,F2,C2T2,C2,T2,D0,578.5748219,1042.064298,997.2955975,1321.395349,0.001728385,0.000959634,0.001002712,0.000756776,870.6807447,0.001148527,0.173028846,251.58,0.189873418
35.1-3,P35,I1,F3,C2T2,C2,T2,D0,525.9655654,566.387921,770.5562423,664.7040971,0.001901265,0.001765574,0.001297764,0.001504429,606.8561417,0.001647837,0.157576687,,
41.1-1,P41,I1,F1,C2T0,C2,T0,D0,497.1134904,879.8228128,836.3636364,874.3163539,0.002011613,0.001136592,0.001195652,0.001143751,702.1164021,0.001424265,0.134314721,235.6641026,0.178899083
41.1-2,P41,I1,F2,C2T0,C2,T0,D0,569.6350365,843.4519957,747.1764706,818.2698962,0.00175551,0.001185604,0.001338372,0.001222091,699.3427904,0.001429914,0.149704301,,
41.2-1,P41,I2,F1,C2T0,C2,T0,D0,684.3800178,829.1087169,835.9509202,475.698076,0.001461177,0.001206114,0.001196242,0.002102174,664.1193363,0.001505753,0.171256831,358.1166667,0.155172414
41.2-2,P41,I2,F2,C2T0,C2,T0,D0,602.5984252,838.6514523,782.7559055,504.9944009,0.00165948,0.00119239,0.001277537,0.00198022,641.6391276,0.001558508,0.161818182,,
42.1-1,P42,I1,F1,C0T2,C0,T2,D0,,,,,,,,,,,,178.8342857,0.198863636
43.1-1,P43,I1,F1,C2T2,C2,T2,D1,480.932377,868.5451761,481.4424411,703.3698031,0.002079294,0.001151351,0.002077091,0.001421727,588.6650943,0.001698759,0.170967742,196.1052083,0.229116945
