Sample Code,Plot No.,Sample No.,Flower/Leaf No. ,Treatment,CO2,Temperature,Drought,Display Area (DA)(cm2),Specific Petal Area (SPA)(cm2/g),Petal Mass Per Area (PMA)(g/cm2),Petal Dry Matter Content (PDMC)(g/g),Leaf Area (LA)(cm2),Specific Leaf Area (SLA)(cm2/g),Leaf Dry Matter Content (LDMC)(g/g),Number of Seeds (SN),Seed Mass (SM)(g)
44.1-1,P44,S1,F1,C0T0D1,0,0,1,0.0331,359.7826087,0.002779456,0.184,1.74242,306.2249561,0.201060071,19.3,0.00010379
44.2-1,P44,S2,F1,C0T0D1,0,0,1,0.074778,726,0.00137741,0.114444444,2.17352,390.9208633,0.159312321,34,0.00015186
45.1-1,P45,S1,F1,C2T2D1,2,2,1,0.04506,641.8803419,0.001557923,0.1404,0.09315,350.1879699,0.204615385,28.3,0.00018506
45.1-2,P45,S1,F2,C2T2D1,2,2,1,0.034394,401.3302217,0.002491714,0.126029412,,,,,
45.2-1,P45,S2,F1,C2T2D1,2,2,1,0.047232,1668.975265,0.00059917,0.07075,0.26128,335.6197816,0.194625,19,0.00012491
47.1-1,P47,S1,F1,C0T0D1,0,0,1,0.043524,873.9759036,0.001144196,0.155625,0.21928,204.9345794,0.148611111,20.3,0.00009131
47.1-2,P47,S1,F2,C0T0D1,0,0,1,,,,,0.51892,864.8666667,0.206896552,,
47.2-1,P47,S2,F1,C0T0D1,0,0,1,0.119062,2254.962121,0.000443466,0.1056,0.63481,484.5877863,0.218333333,21,0.00018048
47.2-2,P47,S2,F2,C0T0D1,0,0,1,,,,,0.4099,195.1904762,0.19266055,,
49.1-1,P49,S1,F1,C0T0D1,0,0,1,0.046364,619.012016,0.001615478,0.124833333,1.11964,373.2133333,0.163934426,43,0.00010047
49.2-1,P49,S2,F1,C0T0D1,0,0,1,0.056862,930.6382979,0.001074531,0.14547619,0.60084,316.2315789,0.162393162,22.7,0.00012412
49.2-2,P49,S2,F2,C0T0D1,0,0,1,0.045272,642.1560284,0.001557254,0.167857143,,,,,
50.1-1,P50,S1,F1,C2T2D1,2,2,1,0.025012,1008.548387,0.000991524,0.095384615,0.3967,521.9736842,0.131034483,29,0.00009983
50.2-1,P50,S2,F1,C2T2D1,2,2,1,0.104818,1335.261146,0.000748917,0.12265625,0.5481,615.4969118,0.134924242,19.7,0.00012746
51.1-1,P51,S1,F1,C0T2D0,0,2,0,0.075324,902.0838323,0.001108544,0.080288462,0.4658,575.0617284,0.120895522,34,0.00007029
51.2-1,P51,S2,F1,C0T2D0,0,2,0,0.048026,1446.566265,0.000691292,0.057241379,0.33234,,,32.7,0.00011112
53.1-1,P53,S1,F1,C0T0D0,0,0,0,,,,,,,,27.7,0.00007699
53.2-1,P53,S2,F1,C0T0D0,0,0,0,0.089932,1277.443182,0.000782814,0.117333333,0.26676,567.5744681,0.138235294,23,0.00014507
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
