Df,Sum Sq,Mean Sq,F value,Pr(>F),model
1,1.0184599373238763,1.0184599373238763,0.2112723359367418,0.6469318417361802,`sqrt_Specific Petal Area (SPA)(cm2/g)` ~ CO2 * Temperature *      Drought
86,414.57180951546087,4.820602436226289,NA,NA,`sqrt_Specific Petal Area (SPA)(cm2/g)` ~ CO2 * Temperature *      Drought
1,1.891331589980071e-6,1.891331589980071e-6,0.00764602434287565,0.9305238291178168,`Petal Dry Matter Content (PDMC) (g/g)` ~ CO2 * Temperature *      Drought
1,3.217060595317162e-4,3.217060595317162e-4,1.300550562080986,0.2572787039218281,`Petal Dry Matter Content (PDMC) (g/g)` ~ CO2 * Temperature *      Drought
1,2.680798139806949e-4,2.680798139806949e-4,1.0837574936035244,0.3007763352018202,`Petal Dry Matter Content (PDMC) (g/g)` ~ CO2 * Temperature *      Drought
1,1.3589499463768025e-5,1.3589499463768025e-5,0.05493782489434378,0.8152407433511569,`Petal Dry Matter Content (PDMC) (g/g)` ~ CO2 * Temperature *      Drought
1,7.095076916143812e-5,7.095076916143812e-5,0.2868303532961258,0.5936412529941213,`Petal Dry Matter Content (PDMC) (g/g)` ~ CO2 * Temperature *      Drought
86,0.02127308382033114,2.4736143977129233e-4,NA,NA,`Petal Dry Matter Content (PDMC) (g/g)` ~ CO2 * Temperature *      Drought
1,10677.418267809318,10677.418267809318,4.959350733763122,0.03099753448900951,`Specific Leaf Area (SLA)(cm2/g)` ~ CO2 * Temperature * Drought
1,4796.257929300966,4796.257929300966,2.2277225340799696,0.14253187869633066,`Specific Leaf Area (SLA)(cm2/g)` ~ CO2 * Temperature * Drought
1,16707.088126971215,16707.088126971215,7.759957293359777,0.00779052215058302,`Specific Leaf Area (SLA)(cm2/g)` ~ CO2 * Temperature * Drought
1,9974.036830728868,9974.036830728868,4.632650481079662,0.03676920364399949,`Specific Leaf Area (SLA)(cm2/g)` ~ CO2 * Temperature * Drought
1,4599.029760306719,4599.029760306719,2.136115776707801,0.1508141638467304,`Specific Leaf Area (SLA)(cm2/g)` ~ CO2 * Temperature * Drought
45,96884.4205311592,2152.9871229146493,NA,NA,`Specific Leaf Area (SLA)(cm2/g)` ~ CO2 * Temperature * Drought
1,0.15662127885777336,0.15662127885777336,9.763582623662513,0.003112520711837437,`log_Leaf Dry Matter Content (LDMC)(g/g)` ~ CO2 * Temperature *      Drought
1,8.751734485571135e-4,8.751734485571135e-4,0.054557262827502055,0.816374288486274,`log_Leaf Dry Matter Content (LDMC)(g/g)` ~ CO2 * Temperature *      Drought
1,0.35995214311337675,0.35995214311337675,22.438984763004452,2.1964423460293305e-5,`log_Leaf Dry Matter Content (LDMC)(g/g)` ~ CO2 * Temperature *      Drought
1,0.016084945976626776,0.016084945976626776,1.0027162348901288,0.322008520111359,`log_Leaf Dry Matter Content (LDMC)(g/g)` ~ CO2 * Temperature *      Drought
1,0.0675240490684084,0.0675240490684084,4.209368209554281,0.046047880318553676,`log_Leaf Dry Matter Content (LDMC)(g/g)` ~ CO2 * Temperature *      Drought
45,0.7218618226795905,0.016041373837324235,NA,NA,`log_Leaf Dry Matter Content (LDMC)(g/g)` ~ CO2 * Temperature *      Drought
