"","PC1","PC2","PC3","PC4","PC5","PC6"
"Display Area (DA)(cm2)",0.522335684532347,-0.237108662609873,-0.142119861193798,0.36345905100628,-0.402874665922332,0.596939177499116
"Specific Petal Area (SPA)(cm2/g)",0.405986351810103,0.324121237090103,0.837267009634236,0.00741643936674757,-0.12489668044993,-0.115975325086658
"Petal Dry Matter Content (PDMC)(g/g)",-0.543146166442395,-0.111821430771381,0.430463090115602,-0.0362713761015329,0.191835929795184,0.684889115742553
"Leaf Area (LA)(cm2)",-0.15051282683183,-0.600633226254151,0.193736884320993,-0.4348027991804,-0.592892851978001,-0.196153582762326
"Specific Leaf Area (SLA)(cm2/g)",0.494074836320953,-0.291798353273543,-0.0168942620511345,-0.590356388662325,0.540667453308673,0.172094161287682
"Leaf Dry Matter Content (LDMC)(g/g)",-0.0238474686390738,0.616696296364068,-0.235940736719772,-0.573544036787849,-0.376096490034513,0.305037068395464
"Eigenvalues",3.07547487970903,2.48505013979335,0.330848862446755,0.103294219730335,0.00533189832053648,4.28495741088224e-31
"Variance_Percent",51.2579146618171,41.4175023298891,5.51414770744591,1.72157032883891,0.0888649720089414,7.14159568480374e-30
"Cumulative_Variance_Percent",51.2579146618171,92.6754169917062,98.1895646991522,99.9111350279911,100,100
