"","PC1","PC2","PC3","PC4","PC5","PC6"
"Display Area (DA)(cm2)",-0.483018388359717,0.33423374741726,-0.156509102262492,-0.177144817315723,0.507132076386132,0.584741575656507
"Specific Petal Area (SPA)(cm2/g)",-0.498884579731074,-0.026819651566646,0.140958086991285,-0.574693408150974,0.104688605769064,-0.623933876751453
"Petal Dry Matter Content (PDMC)(g/g)",0.509545202671822,-0.04153440357561,0.250511606813711,-0.027182373425721,0.799433214135848,-0.189868821339195
"Leaf Area (LA)(cm2)",0.184142733433108,0.683970770284805,-0.586985358487156,0.0826296132462681,0.0139462994895819,-0.383016286581678
"Specific Leaf Area (SLA)(cm2/g)",-0.202838494609933,-0.617516344077521,-0.64498661811898,0.255703631317945,0.273175826926038,-0.146673081589779
"Leaf Dry Matter Content (LDMC)(g/g)",0.427924173043802,-0.191574925003299,-0.363758305529242,-0.751928400079775,-0.133956550316399,0.254006238454988
"Eigenvalues",3.44612360136596,1.28402581002506,0.812279989221637,0.376530209562185,0.081040389825149,3.48802190662755e-32
"Variance_Percent",57.4353933560994,21.4004301670844,13.5379998203606,6.27550349270308,1.35067316375248,5.81336984437925e-31
"Cumulative_Variance_Percent",57.4353933560994,78.8358235231838,92.3738233435444,98.6493268362475,100,100
